country,door_opens_to,age_band,door_U_value,table_notes
England & Wales,outside,A,3,
England & Wales,outside,B,3,
England & Wales,outside,C,3,
England & Wales,outside,D,3,
England & Wales,outside,E,3,
England & Wales,outside,F,3,
England & Wales,outside,G,3,
England & Wales,outside,H,3,
England & Wales,outside,I,3,
England & Wales,outside,J,3,
England & Wales,outside,K,2,
England & Wales,outside,L,1.8,
England & Wales,unheated corridor or stairwell,A,1.4,
England & Wales,unheated corridor or stairwell,B,1.4,
England & Wales,unheated corridor or stairwell,C,1.4,
England & Wales,unheated corridor or stairwell,D,1.4,
England & Wales,unheated corridor or stairwell,E,1.4,
England & Wales,unheated corridor or stairwell,F,1.4,
England & Wales,unheated corridor or stairwell,G,1.4,
England & Wales,unheated corridor or stairwell,H,1.4,
England & Wales,unheated corridor or stairwell,I,1.4,
England & Wales,unheated corridor or stairwell,J,1.4,
England & Wales,unheated corridor or stairwell,K,1.4,
England & Wales,unheated corridor or stairwell,L,1.4,
England & Wales,heated corridor or stairwell,,,omitted from data collection
Northern Ireland,outside,A,3,
Northern Ireland,outside,B,3,
Northern Ireland,outside,C,3,
Northern Ireland,outside,D,3,
Northern Ireland,outside,E,3,
Northern Ireland,outside,F,3,
Northern Ireland,outside,G,3,
Northern Ireland,outside,H,3,
Northern Ireland,outside,I,3,
Northern Ireland,outside,J,3,
Northern Ireland,outside,K,2,
Northern Ireland,outside,L,1.8,
Northern Ireland,unheated corridor or stairwell,A,1.4,
Northern Ireland,unheated corridor or stairwell,B,1.4,
Northern Ireland,unheated corridor or stairwell,C,1.4,
Northern Ireland,unheated corridor or stairwell,D,1.4,
Northern Ireland,unheated corridor or stairwell,E,1.4,
Northern Ireland,unheated corridor or stairwell,F,1.4,
Northern Ireland,unheated corridor or stairwell,G,1.4,
Northern Ireland,unheated corridor or stairwell,H,1.4,
Northern Ireland,unheated corridor or stairwell,I,1.4,
Northern Ireland,unheated corridor or stairwell,J,1.4,
Northern Ireland,unheated corridor or stairwell,K,1.4,
Northern Ireland,unheated corridor or stairwell,L,1.4,
Northern Ireland,heated corridor or stairwell,,,omitted from data collection
Scotland,outside,A,3,
Scotland,outside,B,3,
Scotland,outside,C,3,
Scotland,outside,D,3,
Scotland,outside,E,3,
Scotland,outside,F,3,
Scotland,outside,G,3,
Scotland,outside,H,3,
Scotland,outside,I,3,
Scotland,outside,J,3,
Scotland,outside,K,2,
Scotland,outside,L,1.6,
Scotland,unheated corridor or stairwell,A,1.4,
Scotland,unheated corridor or stairwell,B,1.4,
Scotland,unheated corridor or stairwell,C,1.4,
Scotland,unheated corridor or stairwell,D,1.4,
Scotland,unheated corridor or stairwell,E,1.4,
Scotland,unheated corridor or stairwell,F,1.4,
Scotland,unheated corridor or stairwell,G,1.4,
Scotland,unheated corridor or stairwell,H,1.4,
Scotland,unheated corridor or stairwell,I,1.4,
Scotland,unheated corridor or stairwell,J,1.4,
Scotland,unheated corridor or stairwell,K,1.4,
Scotland,unheated corridor or stairwell,L,1.4,
Scotland,heated corridor or stairwell,,,omitted from data collection
