age_band,country,dwelling_type,years_of_construction
A,England & Wales,house,before 1900
B,England & Wales,house,1900-1929
C,England & Wales,house,1930-1949
D,England & Wales,house,1950-1966
E,England & Wales,house,1967-1975
F,England & Wales,house,1976-1982
G,England & Wales,house,1983-1990
H,England & Wales,house,1991-1995
I,England & Wales,house,1996-2002
J,England & Wales,house,2003-2006
K,England & Wales,house,2007-2011
L,England & Wales,house,2012 onwards
A,Scotland,house,before 1919
B,Scotland,house,1919-1929
C,Scotland,house,1930-1949
D,Scotland,house,1950-1964
E,Scotland,house,1965-1975
F,Scotland,house,1976-1983
G,Scotland,house,1984-1991
H,Scotland,house,1992-1998
I,Scotland,house,1999-2002
J,Scotland,house,2003-2007
K,Scotland,house,2008-2011
L,Scotland,house,2012 onwards
A,Northern Ireland,house,before 1919
B,Northern Ireland,house,1919-1926
C,Northern Ireland,house,1930-1949
D,Northern Ireland,house,1950-1973
E,Northern Ireland,house,1974-1977
F,Northern Ireland,house,1978-1985
G,Northern Ireland,house,1986-1991
H,Northern Ireland,house,1992-1999
I,Northern Ireland,house,2000-2006
J,Northern Ireland,house,not applicable
K,Northern Ireland,house,2007-2013
L,Northern Ireland,house,2014 onwards
A,England & Wales,bungalow,before 1900
B,England & Wales,bungalow,1900-1929
C,England & Wales,bungalow,1930-1949
D,England & Wales,bungalow,1950-1966
E,England & Wales,bungalow,1967-1975
F,England & Wales,bungalow,1976-1982
G,England & Wales,bungalow,1983-1990
H,England & Wales,bungalow,1991-1995
I,England & Wales,bungalow,1996-2002
J,England & Wales,bungalow,2003-2006
K,England & Wales,bungalow,2007-2011
L,England & Wales,bungalow,2012 onwards
A,Scotland,bungalow,before 1919
B,Scotland,bungalow,1919-1929
C,Scotland,bungalow,1930-1949
D,Scotland,bungalow,1950-1964
E,Scotland,bungalow,1965-1975
F,Scotland,bungalow,1976-1983
G,Scotland,bungalow,1984-1991
H,Scotland,bungalow,1992-1998
I,Scotland,bungalow,1999-2002
