country,wall_type,age_band,wall_thickness
England & Wales,stone (granite or shinstone),A,500
England & Wales,stone (sandstone or limestone),A,500
England & Wales,solid brick,A,220
England & Wales,cavity,A,250
England & Wales,timber frame,A,150
England & Wales,cob,A,540
England & Wales,system build (i.e. an other),A,250
England & Wales,stone (granite or shinstone),B,500
England & Wales,stone (sandstone or limestone),B,500
England & Wales,solid brick,B,220
England & Wales,cavity,B,250
England & Wales,timber frame,B,150
England & Wales,cob,B,540
England & Wales,system build (i.e. an other),B,250
England & Wales,stone (granite or shinstone),C,500
England & Wales,stone (sandstone or limestone),C,500
England & Wales,solid brick,C,220
England & Wales,cavity,C,250
England & Wales,timber frame,C,150
England & Wales,cob,C,540
England & Wales,system build (i.e. an other),C,250
England & Wales,stone (granite or shinstone),D,500
England & Wales,stone (sandstone or limestone),D,500
England & Wales,solid brick,D,220
England & Wales,cavity,D,250
England & Wales,timber frame,D,250
England & Wales,cob,D,540
England & Wales,system build (i.e. an other),D,250
England & Wales,stone (granite or shinstone),E,450
England & Wales,stone (sandstone or limestone),E,450
England & Wales,solid brick,E,240
England & Wales,cavity,E,250
England & Wales,timber frame,E,270
England & Wales,cob,E,540
England & Wales,system build (i.e. an other),E,250
England & Wales,stone (granite or shinstone),F,420
England & Wales,stone (sandstone or limestone),F,420
England & Wales,solid brick,F,250
England & Wales,cavity,F,260
England & Wales,timber frame,F,270
England & Wales,cob,F,540
England & Wales,system build (i.e. an other),F,300
England & Wales,park home wall,F,50
England & Wales,stone (granite or shinstone),G,420
England & Wales,stone (sandstone or limestone),G,420
England & Wales,solid brick,G,270
England & Wales,cavity,G,270
England & Wales,timber frame,G,270
England & Wales,cob,G,560
England & Wales,system build (i.e. an other),G,300
England & Wales,park home wall,G,50
England & Wales,stone (granite or shinstone),H,420
England & Wales,stone (sandstone or limestone),H,420
England & Wales,solid brick,H,270
England & Wales,cavity,H,270
England & Wales,timber frame,H,270
England & Wales,cob,H,560
England & Wales,system build (i.e. an other),H,300
England & Wales,stone (granite or shinstone),I,450
England & Wales,stone (sandstone or limestone),I,450
England & Wales,solid brick,I,300
England & Wales,cavity,I,300
England & Wales,timber frame,I,300
England & Wales,cob,I,590
England & Wales,system build (i.e. an other),I,300
England & Wales,park home wall,I,75
England & Wales,stone (granite or shinstone),J,450
England & Wales,stone (sandstone or limestone),J,450
England & Wales,solid brick,J,300
England & Wales,cavity,J,300
England & Wales,timber frame,J,300
England & Wales,cob,J,590
England & Wales,system build (i.e. an other),J,300
England & Wales,park home wall,J,100
England & Wales,stone (granite or shinstone),K,450
England & Wales,stone (sandstone or limestone),K,450
England & Wales,solid brick,K,300
England & Wales,cavity,K,300
England & Wales,timber frame,K,300
England & Wales,cob,K,590
England & Wales,system build (i.e. an other),K,300
England & Wales,park home wall,K,100
England & Wales,stone (granite or shinstone),L,450
England & Wales,stone (sandstone or limestone),L,450
England & Wales,solid brick,L,300
England & Wales,cavity,L,300
England & Wales,timber frame,L,300
England & Wales,cob,L,590
England & Wales,system build (i.e. an other),L,300
England & Wales,park home wall,L,100
Scotland,stone (granite or shinstone),A,700
Scotland,stone (sandstone or limestone),A,700
Scotland,solid brick,A,220
Scotland,cavity,A,300
Scotland,timber frame,A,150
Scotland,cob,A,540
Scotland,system build (i.e. an other),A,250
