wall_type_group,wall_type_detail,age_band,wall_u_value_northern_ireland,table_notes
stone,granite or whinstone as built,A,,see equations in S5.1.1.
stone,sandstone or limestone as built,A,,see equations in S5.1.1.
solid brick,as built,A,2.1,
stone / solid brick,with 50mm external or internal insulation,A,0.6,
stone / solid brick,with 100mm external or internal insulation,A,0.35,
stone / solid brick,with 150mm external or internal insulation,A,0.25,
stone / solid brick,with 200mm external or internal insulation,A,0.18,
cob,as built,A,0.8,
cob,with 50mm external or internal insulation,A,0.4,
cob,with 100mm external or internal insulation,A,0.26,
cob,with 150mm external or internal insulation,A,0.2,
cob,with 200mm external or internal insulation,A,0.16,
cavity,as built,A,2.1,
unfilled cavity,with 50mm external or internal insulation,A,0.6,
unfilled cavity,with 100mm external or internal insulation,A,0.35,
unfilled cavity,with 150mm external or internal insulation,A,0.25,
unfilled cavity,with 200mm external or internal insulation,A,0.18,
filled cavity,,A,0.5,
filled cavity,with 50mm external or internal insulation,A,0.31,
filled cavity,with 100mm external or internal insulation,A,0.22,
filled cavity,with 150mm external or internal insulation,A,0.17,
filled cavity,with 200mm external or internal insulation,A,0.14,
timber frame,as built,A,2.5,
timber frame,with internal insulation,A,0.6,
system build,as built,A,2,
system build,with 50mm external or internal insulation,A,0.6,
system build,with 100mm external or internal insulation,A,0.35,
system build,with 150mm external or internal insulation,A,0.25,
system build,with 200mm external or internal insulation,A,0.18,
stone,granite or whinstone as built,B,,see equations in S5.1.1.
stone,sandstone or limestone as built,B,,see equations in S5.1.1.
solid brick,as built,B,2.1,
stone / solid brick,with 50mm external or internal insulation,B,0.6,
stone / solid brick,with 100mm external or internal insulation,B,0.35,
stone / solid brick,with 150mm external or internal insulation,B,0.25,
stone / solid brick,with 200mm external or internal insulation,B,0.18,
cob,as built,B,0.8,
cob,with 50mm external or internal insulation,B,0.4,
cob,with 100mm external or internal insulation,B,0.26,
cob,with 150mm external or internal insulation,B,0.2,
cob,with 200mm external or internal insulation,B,0.16,
cavity,as built,B,1.6,
unfilled cavity,with 50mm external or internal insulation,B,0.53,
